seqnum,CodeNo,Station Name,StationID,Lon,Lat,year,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
186047,ETH362,Eneware,SHENEW11,39.15,9.83,2024,8.7,14.8,72.6,99.7,0.3,144.1,477.4,375.7,80.6,91.5,-9999,-9999
186048,ETH538,Imdibir,SHIMDI31,37.936,8.1183,2024,42.6,52.9,197.4,202.4,42.5,281.2,492.4,436,206.4,197.1,-9999,-9999
186049,ETH556,Kachis e(Rs),SHKACH31,37.86,9.583333,2024,23.7,-9999,80,43.7,120.5,190.9,352.4,356.4,244.61,192.7,-9999,-9999
186051,ETH721,Nazeret,SHNAZE11,39.283333,8.55,2024,0.1,-9999,104,102.5,70,93.3,293.7,163.5,89.4,73.3,-9999,-9999
186052,ETH731,Nuraera (SF),SHNURA11,39.9,8.08333,2024,0,18.1,97.4,143.9,18.7,91.4,225.1,210.9,38.3,65.3,-9999,-9999
186053,ETH798,Shewa Robit,SHSHEW11,39.89436,10.0127,2024,-9999,-9999,-9999,-9999,-9999,22,188.8,204.2,42.7,50.4,-9999,-9999
186054,ETH124,Awassa,SIAWAS32,38.483056,7.065,2024,20.5,37.9,122.2,251.5,61.1,27.7,155,143.1,106,182.4,-9999,-9999
186055,ETH189,Bore,SIBORE31,38.61667,6.35,2024,66.5,35.3,102.8,308,270.7,94,214.8,137.1,96.4,260.5,-9999,-9999
186056,ETH201,Burji,SIBURJ21,37.86797,5.48447,2024,13.5,41,152.7,199.1,135.4,15.8,54.3,58.4,65.8,138.2,-9999,-9999
186058,ETH490,Hagere Mariam,SIHAGE11,38.233333,5.65,2024,4.4,15.1,102.4,285.1,123.2,5.1,107.5,56.3,76.2,146.9,-9999,-9999
186061,ETH726,Neghele,SINEGH22,39.566667,5.416667,2024,0,0,17.1,173.8,128.3,1.2,12.7,10.1,22,131.5,-9999,-9999
186062,ETH871,Werabe,SIWERA11,38.191,7.8505,2024,25.3,53.9,203.1,78.9,84.1,132.1,227.4,195.1,116.7,182.2,-9999,-9999
186063,ETH877,Wolaita,SIWOLA11,37.73,6.81,2024,20.9,25.7,59.3,200,264.5,51.7,228.9,338.2,126.3,191.2,-9999,-9999
186064,ETH889,Yabello,SIYABE31,38.1,6.883333,2024,18.8,43.8,94.3,175.6,131.4,0,45.6,35,33.7,99.9,-9999,-9999
186066,ETH118,Atsebi,TIATSE21,39.741419,13.8832,2024,-9999,14,18.5,44.2,26.8,43,308,503.6,57,59.6,-9999,-9999
186071,ETH671,Mekele Air Port Observa,TIMEKE12,39.5312,13.47051,2024,-9999,19.4,9.5,27.1,1.1,63.9,164.8,306.2,29.1,27.7,-9999,-9999
186073,ETH776,Senkata,TISENK11,39.56873,14.06415,2024,-9999,-9999,63.7,33.4,86.9,24.6,299.1,344.8,1.3,5.4,-9999,-9999
186074,ETH801,Shire Endasilasse,TISHIR11,38.29457,14.10172,2024,-9999,33.8,22,7.5,38.2,163.3,252.3,300.7,115,91.9,-9999,-9999
186078,ETH116,Assosa,WEASSO11,34.516667,10,2024,0,0,17.9,32.3,86.5,256.7,-9999,369.2,130.2,206.9,-9999,-9999
186082,,Amde Work,WOAMDE21,38.7141991,12.4274998,2024,51.5,1.3,59.8,-9999,36.6,70.6,-9999,481.1,133,14.8,-9999,-9999
186083,ETH216,Cheffa SF,WOCHEF21,39.766667,10.983333,2024,6.6,51.8,110,117.5,46.2,70.7,259.1,271.6,148.9,62.9,-9999,-9999
186084,,Chifra,WOCHIF21,40.0200005,11.6099997,2024,0,8,107.9,33.9,84.7,0,111.3,301.5,28.2,78.4,-9999,-9999
186085,ETH336,Dubity Met,WODUBI21,41.01,11.723,2024,-9999,-9999,18.1,-9999,-9999,-9999,-9999,-9999,-9999,70.2,-9999,-9999
186088,ETH669,Mekane Selam,WOMEKA11,38.756691,10.74311,2024,67.7,17.9,132.1,38.2,59.1,114.9,235.8,231.4,129.9,68.6,-9999,-9999
186089,,Mille,WOMILL51,40.7700005,11.4256001,2024,0,20.4,0,81.4,-9999,-9999,-9999,136.6,39,-9999,-9999,-9999
186090,ETH772,Semera,WOSEME11,41,11.76,2024,0,-9999,21,106.3,27.5,3.7,88.5,59.2,27,0,-9999,-9999
186091,,Tsitsika,WOTSIT21,38.7999992,12.7839003,2024,2.4,3.8,12.4,15.4,62.2,10.8,170.2,419.1,15.8,19,-9999,-9999
186092,ETH872,Wereilu,WOWERE11,39.436719,10.579488,2024,8.3,53.4,89.6,68.7,-9999,109.8,363.5,-9999,94.2,32.3,-9999,-9999
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
